ntaname,street_light_count,area_km2,lights_per_km2,demo_lat,demo_lng,matched_to,match_score,match_type
Harlem (North),1012,23.79288288948502,42.533727615128186,40.801168060718624,-73.93734582243346,East Harlem North,0.7741935483870968,fuzzy
Allerton,1006,15.7540885684321,63.85643927480601,40.73548935844569,-73.72665581511916,Bellerose,0.5882352941176471,fuzzy
Sunset Park (Central),1005,18.75428379730361,53.58775684862428,40.65237970624285,-74.01123799592385,Sunset Park West,0.7567567567567568,fuzzy
Flushing Meadows-Corona Park,1002,55.2077546914576,18.149624189571348,40.7348944309144,-73.78371651615551,Fresh Meadows-Utopia,0.5833333333333334,fuzzy
East Harlem (South),975,16.65393935289744,58.54470701133965,40.79001121108353,-73.94575082038801,East Harlem South,0.9444444444444444,fuzzy
Springfield Gardens (South)-Brookville,974,57.43686877094356,16.95774893099207,40.66218856065352,-73.76448816042088,Springfield Gardens South-Brookville,0.972972972972973,fuzzy
Mariner's Harbor-Arlington-Graniteville,972,89.3892496099566,10.873790799690685,40.63130729750147,-74.1673703489538,Mariner's Harbor-Arlington-Port Ivory-Graniteville,0.8764044943820225,fuzzy
Crotona Park East,969,15.97875902661556,60.64300728147614,40.83399605266621,-73.88589758743139,Crotona Park East,1.0,exact
Oakwood-Richmondtown,954,55.93746659386207,17.05475878853407,40.67895311790504,-73.79098785454724,Baisley Park,0.5454545454545454,random_fallback
Arden Heights-Rossville,952,67.77404546095336,14.04667514717674,40.55265913254923,-74.18848262908412,Arden Heights,0.7222222222222222,fuzzy
Williamsburg,950,28.852799789820523,32.92574748101801,40.70391655389162,-73.95859673320767,Williamsburg,1.0,exact
Long Island City-Hunters Point,948,27.59535609142739,34.35360634083283,40.66218856065352,-73.76448816042088,Springfield Gardens South-Brookville,0.5365853658536586,random_fallback
Tremont,938,15.829279391837954,59.2572774022588,40.84496706103915,-73.88552360563546,East Tremont,0.7368421052631579,fuzzy
Jamaica Estates-Holliswood,937,39.4106291472806,23.77531189614756,40.720655589111615,-73.77610096403608,Jamaica Estates-Holliswood,1.0,exact
Hell's Kitchen,929,18.382315637101403,50.5377025582664,40.8465985970897,-73.80649439874875,Pelham Bay-Country Club-City Island,0.46153846153846156,random_fallback
Whitestone-Beechhurst,925,52.63762774457705,17.57298038750041,40.78819139238638,-73.81564326334313,Whitestone,0.6451612903225806,fuzzy
Coney Island-Sea Gate,925,47.5890707530253,19.437236015817696,40.57648167401005,-73.99123397878813,Seagate-Coney Island,0.5853658536585366,fuzzy
Melrose,922,17.271763917240524,53.381924649842375,40.73548935844569,-73.72665581511916,Bellerose,0.75,fuzzy
Longwood,918,15.396655975983,59.623336485011656,40.81967476734645,-73.89895694003862,Longwood,1.0,exact
Rego Park,917,20.193352238331272,45.410984227737046,40.72615506162364,-73.86333841937243,Rego Park,1.0,exact
Greenpoint,915,35.321743213541644,25.90472374107537,40.72949958453045,-73.94951665949719,Greenpoint,1.0,exact
St. George-New Brighton,907,26.50890513580913,34.21491741561192,40.57908866829565,-73.97339108560791,West Brighton,0.6111111111111112,fuzzy
Tompkinsville-Stapleton-Clifton-Fox Hills,904,24.241468580761563,37.29147006866695,40.61797266305365,-74.08783923646041,Grymes Hill-Clifton-Fox Hills,0.6571428571428571,fuzzy
Dyker Heights,903,29.119072647304897,31.01060294526848,40.62243840833855,-74.01209582462705,Dyker Heights,1.0,exact
East Village,899,18.984614229765683,47.35413578172538,40.72762025919606,-73.98593461272795,East Village,1.0,exact
Rosebank-Shore Acres-Park Hill,897,35.251145432239674,25.445981655382745,40.72143004417155,-73.84767249027793,Forest Hills,0.45,random_fallback
East Elmhurst,889,28.76395545803297,30.906736776764376,40.76335208101168,-73.86839538853384,East Elmhurst,1.0,exact
Flushing-Willets Point,877,38.53428365602896,22.75895428155409,40.8120888143296,-73.88554635644437,Hunts Point,0.6060606060606061,fuzzy
Morningside Heights,874,15.92280225161968,54.889835732971946,40.80788623117016,-73.96254425320333,Morningside Heights,1.0,exact
Port Richmond,874,36.23693621920318,24.11903684994312,40.62816628196562,-74.14078838716847,Port Richmond,1.0,exact
Astoria (East)-Woodside (North),872,26.0420253246278,33.48433883809161,40.83051084711268,-73.9157892332181,East Concourse-Concourse Village,0.4782608695652174,random_fallback
Kingsbridge Heights-Van Cortlandt Village,868,10.970030172775754,79.12466842198023,40.87651315575785,-73.89562227427858,Van Cortlandt Village,0.6774193548387096,fuzzy
